train_ssim_loss,train_dice_loss,train_log_cosh_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_log_cosh_dice_loss,val_bce_loss,val_total_loss
0.1105,0.8402,0.3202,0.1117,2.5431,0.0195,0.9659,0.4091,0.1086,2.8781
0.0286,0.6377,0.1942,0.086,1.7783,0.0191,0.7164,0.2501,0.0901,2.0423
0.0235,0.5153,0.1302,0.0713,1.3858,0.0182,0.6056,0.1913,0.0749,1.6869
0.0218,0.4688,0.1089,0.0655,1.2429,0.0186,0.6152,0.1954,0.0771,1.7169
0.0207,0.4403,0.0968,0.0616,1.1565,0.0197,0.4894,0.1311,0.0658,1.3266
0.02,0.4155,0.0865,0.0588,1.0827,0.0207,0.4877,0.13,0.0706,1.3266
0.0194,0.403,0.082,0.057,1.0464,0.018,0.5426,0.1591,0.0669,1.4884
0.019,0.3909,0.0772,0.0554,1.0105,0.0184,0.4538,0.1171,0.0603,1.2205
0.0185,0.3769,0.0722,0.0534,0.97,0.0177,0.469,0.1221,0.0617,1.2616
0.0182,0.3689,0.0691,0.0525,0.9467,0.0165,0.433,0.1113,0.0522,1.1572
0.0178,0.357,0.065,0.0506,0.9124,0.0174,0.5329,0.1565,0.0705,1.4668
0.0176,0.3503,0.0626,0.0498,0.8932,0.0171,0.4268,0.1051,0.055,1.1358
0.0174,0.3406,0.0594,0.0484,0.8657,0.0168,0.4697,0.1264,0.0589,1.268
0.0171,0.3309,0.056,0.0471,0.838,0.0178,0.4112,0.098,0.0572,1.0934
