train_ssim_loss,train_dice_loss,train_log_cosh_dice_loss,train_bce_loss,train_total_loss,val_ssim_loss,val_dice_loss,val_log_cosh_dice_loss,val_bce_loss,val_total_loss
0.1222,0.8559,0.3306,0.1161,2.6111,0.0221,0.8297,0.3158,0.0945,2.4077
0.0282,0.6164,0.1829,0.0845,1.7115,0.0239,0.5689,0.1696,0.0687,1.5696
0.0224,0.4784,0.1131,0.0672,1.2725,0.0213,0.5959,0.1827,0.0773,1.6558
0.0205,0.4292,0.0921,0.0609,1.1241,0.0212,0.4585,0.1166,0.0584,1.2297
0.0195,0.4023,0.0815,0.0572,1.0442,0.0206,0.5313,0.1512,0.0682,1.4539
0.0187,0.3803,0.0732,0.0542,0.98,0.0194,0.4189,0.0984,0.0552,1.1092
0.0182,0.3625,0.0667,0.0515,0.928,0.018,0.4181,0.1,0.0525,1.1067
0.0178,0.3492,0.0621,0.0498,0.8902,0.0187,0.4121,0.095,0.0557,1.0887
0.0173,0.3383,0.0586,0.0483,0.8593,0.0182,0.4544,0.115,0.0586,1.2155
0.0169,0.3248,0.0543,0.0465,0.8216,0.0168,0.3779,0.0841,0.0456,0.9864
0.0167,0.318,0.052,0.0454,0.8019,0.0171,0.4567,0.1192,0.0588,1.2276
0.0164,0.3078,0.0488,0.0439,0.7734,0.019,0.3552,0.0739,0.0492,0.9266
